Vehicle Type,CO2 Emissions (MT CO2),CH4 Emissions (MT CH4),N2O Emissions (MT N2O)
Motorcycle,55368,19,2
Passenger Car,2530981,161,145
Passenger Truck,1542247,84,103
Light Truck,122181,7,8
Transit Bus,64799,6,1
Single Unit SH,248277,3,3
Single Unit LH,,,
Combination SH,460367,6,5
Combination LH,28865,0,0
Total,5053085,286,267
