Vehicle Type,CO2 Emissions (MT CO2),CH4 Emissions (MT CH4),N2O Emissions (MT N2O)
Motorcycle,55561,20,0
Passenger Car,1938177,141,43
Passenger Truck,2046324,132,52
Light Truck,49808,6,2
Transit Bus,89267,48,1
School Bus,4640,1,0
Refuse Truck,413,0,0
Single Unit SH,129241,22,2
Single Unit LH,53624,8,0
Motor Home,2779,0,0
Combination SH,1631,0,0
Combination LH,690260,12,1
Total,5061725,390,101
