Sector,Units,CY 2005 Consumed,CY 2005 tCO2e,CY 2005 Source MMBtu,CY 2005 tCO2e 20 yr GWP,CY 2018 Consumed,CY 2018 tCO2e,CY 2018 Source MMBtu,CY 2018 tCO2e 20 yr GWP,2005 - 2018 % change Consumed,2005 - 2018 % change tCO2e,2005 - 2018 % change Source MMBtu,2005 - 2018 % change tCO2e 20 yr GWP
Passenger cars,VMT,"19,318,051,038.33","12,860,259.42","192,791,647.96","12,876,117.10","20,218,794,704.58","12,491,490.24","188,764,885.24","12,500,442.82",4.66,-2.87,-2.09,-2.92
Medium duty trucks,VMT,"487,628,577.23","387,163.75","5,670,969.33","387,697.45","510,364,952.92","404,853.29","5,932,756.30","405,448.52",4.66,4.57,4.62,4.58
Heavy duty trucks,VMT,"593,693,063.86","1,354,258.24","18,831,026.24","1,354,427.27","621,374,724.93","1,412,033.67","19,551,134.30","1,415,360.74",4.66,4.27,3.82,4.50
SWCV,VMT,"38,600,982.80","65,624.50","941,745.10","65,629.36","40,400,807.39","68,105.47","973,531.39","68,225.73",4.66,3.78,3.38,3.96
Bus,VMT,"346,001,786.69","687,062.32","9,548,306.83","687,199.38","279,383,540.18","538,990.59","7,825,150.71","539,845.31",-19.25,-21.55,-18.05,-21.44
Electricity - subway and commuter rail,kWh,"2,223,041,707.65","1,085,792.69","7,585,018.31","1,087,388.82","2,195,841,805.30","698,277.43","7,492,212.24","699,089.98",-1.22,-35.69,-1.22,-35.71
Diesel - commuter rail,gallon,"1,375,601.30","14,214.94","191,731.31","14,248.26","1,461,415.38","15,101.71","203,692.07","15,137.11",6.24,6.24,6.24,6.24
